date,pm10,SO2,NO2,rainfall
01/01/2016,,,,
01/02/2016,,,,
01/03/2016,,,,
01/04/2016,,,,
01/05/2016,,,,
01/06/2016,66,4,15,321.8
01/07/2016,60,4,16,446.2
01/08/2016,61,4,17,82
01/09/2016,58,5,18,243.3
01/10/2016,67,5,22,
01/11/2016,63,5,20,
01/12/2016,65,5,21,
01/01/2017,64,5,21,
01/02/2017,64,5,21,
01/03/2017,68,6,20,
01/04/2017,69,5,20,
01/05/2017,71,5,19,
01/06/2017,66,4,20,322.7
01/07/2017,61,5,21,149.25
01/08/2017,61,5,21,201.6
01/09/2017,61,5,21,178.36
01/10/2017,62,5,22,
01/11/2017,63,6,21,
01/12/2017,64,6,21,
01/01/2018,66,6.1,21.3,0
01/02/2018,67,6.2,21.5,0
01/03/2018,70,6,21.3,28
01/04/2018,74,6,22.1,2.1
01/05/2018,74,5.9,22.4,28.6
01/06/2018,69,5.8,22.4,217.2
01/07/2018,64,5.9,22.4,216.3
01/08/2018,64,5.7,22.4,456.2
01/09/2018,61,5.7,23.9,86.2
01/10/2018,67,5.9,25.8,0
01/11/2018,71,6.3,26.8,
01/12/2018,81,5.7,24.9,
01/01/2019,74,5.9,24.8,
01/02/2019,75,6,24.8,
01/03/2019,76,5.7,24.5,
01/04/2019,77,5.7,24.3,15.8
01/05/2019,80,5.2,24.8,0
01/06/2019,75,5.4,25.7,119.3
01/07/2019,76,5.5,26,307.8
01/08/2019,77,4.7,24.3,232.6
01/09/2019,57,4.4,23.5,72.9
01/10/2019,72,4.7,24.9,
01/11/2019,75,4.5,24.6,
01/12/2019,73,5.2,25.7,
01/01/2020,78,5.8,27.6,
01/02/2020,82,5.6,26.6,
01/03/2020,71,4.7,22.2,
01/04/2020,52,2,15.8,2.3
01/05/2020,,,,48.9
01/06/2020,75,4.7,24.2,150.9
01/07/2020,74,5.5,24,284.2
01/08/2020,72,4.6,21.5,345.1
01/09/2020,72,5.3,23.7,246
01/10/2020,72,5.3,23.8,
01/11/2020,,,,
01/12/2020,,,,
01/01/2021,,,,
01/02/2021,62,5.1,23,
01/03/2021,73,6.6,25.2,
01/04/2021,74,6.1,25.4,
01/05/2021,67,6,23,45.4
01/06/2021,,,,183.9
01/07/2021,,,,358.3
01/08/2021,,,,219.3
01/09/2021,,,,245
01/10/2021,,,,24.9
01/11/2021,,,,
01/12/2021,,,,
01/01/2022,,,,
01/02/2022,,,,
01/03/2022,56,8.2,25.6,
01/04/2022,65,9.5,28.2,
01/05/2022,60,7.9,26.5,50.3
01/06/2022,57,8.6,25,172.4
01/07/2022,48,6.8,23.1,704.1
01/08/2022,56,8.5,26.2,212.6
01/09/2022,54,9.7,27.5,254.3
01/10/2022,62,10.9,29.3,
01/11/2022,58,7.5,26.4,
01/12/2022,62,9.5,25.3,
