date,pm10,SO2,Nox,rainfall,
01/01/2016,69,8,22,0,
01/02/2016,59,8,25,0,
01/03/2016,42,8,32.1,0,
01/04/2016,62,8,29,0,
01/05/2016,52,8,21,0,
01/06/2016,47,8,19,133.6,
01/07/2016,23,8,20,378,
01/08/2016,33,8,20,167.2,
01/09/2016,29,8,23,432.8,
01/10/2016,50,8,23,0,
01/11/2016,69,8,23,0,
01/12/2016,83,8,26,0,
01/01/2017,84,7,25,0,
01/02/2017,75,7,31,0,
01/03/2017,86,8,26,0,
01/04/2017,79,8,26,0,
01/05/2017,82,7,27,0,
01/06/2017,59,6.6,22,196,
01/07/2017,51,7,27,175.21,
01/08/2017,56,6,26,140.39,
01/09/2017,62,7,22,68.61,
01/10/2017,69,8,32,0,
01/11/2017,91,7,22,0,
01/12/2017,90,7.7,26.7,0,
01/01/2018,117,7.9,38.5,0,
01/02/2018,88,6.5,45.8,0,
01/03/2018,89,7.4,36.3,3.5,
01/04/2018,102,8.7,40,16.3,
01/05/2018,100,8.8,41.9,24.4,
01/06/2018,101,9.1,39,112.5,
01/07/2018,89,8.7,33.6,171.3,
01/08/2018,91,7.6,38.9,305.9,
01/09/2018,101,9.1,40.2,99.7,
01/10/2018,98,9,34,0,
01/11/2018,110,9.5,44.2,0,
01/12/2018,100,9.3,40.2,17,
01/01/2019,107,10.7,54.4,,
01/02/2019,103,10.7,58.4,,
01/03/2019,105,10.4,57.8,,
01/04/2019,113,10.4,61.2,6.8,
01/05/2019,105,10.2,58.9,2.3,
01/06/2019,100,9.1,50.5,84.2,
01/07/2019,100,9.1,47.8,239.1,
01/08/2019,102,8.5,51.8,260.7,
01/09/2019,97,8,51.2,68.1,
01/10/2019,104,7.4,50.1,,
01/11/2019,107,7.1,52.4,,
01/12/2019,119,6.8,56.2,,
01/01/2020,116,7.9,54.4,,
01/02/2020,121,6.5,58.4,,
01/03/2020,115,7.4,57.8,,
01/04/2020,117,8.7,61.2,24.3,
01/05/2020,101,8.8,58.9,23.8,
01/06/2020,102,9.1,50.5,177.2,
01/07/2020,124,8.7,47.8,272.3,
01/08/2020,70,7.6,51.8,423.4,
01/09/2020,99,9.1,51.2,369.6,
01/10/2020,156,9,50.1,,
01/11/2020,120,9.5,52.4,,
01/12/2020,114,9.3,56.2,,
01/01/2021,114,7.1,56.6,,
01/02/2021,116,7.1,47,,
01/03/2021,65,8.2,41.7,,
01/04/2021,72,8.2,40.7,,
01/05/2021,68,8.3,42.4,10.2,
01/06/2021,69,7.9,39.7,234.5,
01/07/2021,57,6.6,32.4,311.9,
01/08/2021,64,6.9,32.4,219.5,
01/09/2021,66,6.7,34.7,352.5,
01/10/2021,68,7.2,35.3,82.6,
01/11/2021,73,6.8,34.2,,
01/12/2021,83,7.9,30.9,,
01/01/2022,82,7.8,30.3,,
01/02/2022,92,6.4,27.9,,
01/03/2022,99,6.8,26.7,,
01/04/2022,70,8,28.4,,
01/05/2022,78,6.3,26.8,20.5,
01/06/2022,92,6.4,32,162.4,
01/07/2022,69,7,29.3,797.9,
01/08/2022,55,6,27.4,127.7,
01/09/2022,58,6.7,29.9,227.8,
01/10/2022,62,6.7,30.6,,
01/11/2022,103,6.2,26.1,,
01/12/2022,139,6.2,32.7,,
